date,time,weekday,location_id,location_name,gym_people_num,gym_max_people_num,sw_people_num,sw_max_people_num
2026-08-14,07:27,Friday,ZSSC,中山,12,50,31,150
2026-08-14,13:20,Friday,BTSC,北投,0,60,64,200
2026-08-14,13:20,Friday,DASC,大安,22,80,74,250
2026-08-14,13:20,Friday,DTSC,大同,51,80,4,250
2026-08-14,13:20,Friday,JJSC,中正,55,150,0,200
2026-08-14,13:20,Friday,NGSC,南港,0,0,0,0
2026-08-14,13:20,Friday,NHSC,內湖,38,130,48,200
2026-08-14,13:20,Friday,SLSC,士林,33,100,62,200
2026-08-14,13:20,Friday,SSSC,松山,48,100,87,400
2026-08-14,13:20,Friday,WHSC,萬華,25,150,45,100
2026-08-14,13:20,Friday,WSSC,文山,20,110,45,200
2026-08-14,13:20,Friday,XYSC,信義,0,65,0,165
2026-08-14,13:20,Friday,ZSSC,中山,22,50,39,150
2026-08-14,17:34,Friday,BTSC,北投,17,60,216,200
2026-08-14,17:34,Friday,DASC,大安,33,80,30,250
2026-08-14,17:34,Friday,DTSC,大同,49,80,2,250
2026-08-14,17:34,Friday,JJSC,中正,90,150,91,200
2026-08-14,17:34,Friday,NGSC,南港,0,0,0,0
2026-08-14,17:34,Friday,NHSC,內湖,83,130,52,200
2026-08-14,17:34,Friday,SLSC,士林,43,100,42,200
2026-08-14,17:34,Friday,SSSC,松山,60,100,93,400
2026-08-14,17:34,Friday,WHSC,萬華,33,150,66,100
2026-08-14,17:34,Friday,WSSC,文山,24,110,54,200
2026-08-14,17:34,Friday,XYSC,信義,0,65,0,165
2026-08-14,17:34,Friday,ZSSC,中山,27,50,59,150
2026-08-14,20:01,Friday,BTSC,北投,18,60,272,200
2026-08-14,20:01,Friday,DASC,大安,30,80,105,250
2026-08-14,20:01,Friday,DTSC,大同,68,80,22,250
2026-08-14,20:01,Friday,JJSC,中正,94,150,46,200
2026-08-14,20:01,Friday,NGSC,南港,0,0,0,0
2026-08-14,20:01,Friday,NHSC,內湖,76,130,94,200
2026-08-14,20:01,Friday,SLSC,士林,44,100,57,200
2026-08-14,20:01,Friday,SSSC,松山,81,100,184,400
2026-08-14,20:01,Friday,WHSC,萬華,68,150,62,100
2026-08-14,20:01,Friday,WSSC,文山,33,110,95,200
2026-08-14,20:01,Friday,XYSC,信義,0,65,0,165
2026-08-14,20:01,Friday,ZSSC,中山,21,50,31,150
2026-08-14,23:10,Friday,BTSC,北投,0,60,0,200
2026-08-14,23:10,Friday,DASC,大安,0,80,0,250
2026-08-14,23:10,Friday,DTSC,大同,0,80,0,250
2026-08-14,23:10,Friday,JJSC,中正,0,150,0,200
2026-08-14,23:10,Friday,NGSC,南港,0,0,0,0
2026-08-14,23:10,Friday,NHSC,內湖,0,130,0,200
2026-08-14,23:10,Friday,SLSC,士林,0,100,0,200
2026-08-14,23:10,Friday,SSSC,松山,36,100,45,400
2026-08-14,23:10,Friday,WHSC,萬華,0,150,0,100
2026-08-14,23:10,Friday,WSSC,文山,0,110,0,200
2026-08-14,23:10,Friday,XYSC,信義,0,65,0,165
2026-08-14,23:10,Friday,ZSSC,中山,0,50,0,150
2026-08-15,02:09,Saturday,BTSC,北投,0,60,0,200
2026-08-15,02:09,Saturday,DASC,大安,0,80,0,250
2026-08-15,02:09,Saturday,DTSC,大同,0,80,0,250
